Kategori,Nama_minuman,Nutri_Score,Energy (Per 100 ml),Fat (Per 100 ml),Saturated fat (Per 100 ml),Carbohydrates (Per 100 ml),Sugars (Per 100 ml),Fiber (Per 100 ml),Proteins (Per 100 ml),Salt (Per 100 ml)
plant-milks,Organic Almond milk,b,121.0,2.5,0.2,0.5,0,0.5,1.0,0.0975
plant-milks,Alpro Not Milk,c,248.0,3.5,0.4,5.7,0,1,0.7,0.12
plant-milks,Soja nature sans sucre ajouté bio,b,178.0,2.6,0.6,0.7,0.5,0.5,3.9,0.03
plant-milks,The Original Oat Drink Semi,c,191.0,1.5,0.2,6.6,4.1,0.8,1.0,0.1
plant-milks,Organic Oat drink,c,138.0,0.3,0.1,6.6,3.8,0.5,0.6,0.08
plant-milks,Soya Unsweetened plant based,b,138.0,1.7,0.2,1.4,0.5,0.2,3.0,0.02
plant-milks,Coco Sans Sucres,b,59.0,1.2,1.1,0,0,0,0.1,0.07
plant-milks,"Alpro Sojadrink, Schokoladen-Geschmack, Protein 1L",b,291.0,2.8,0.6,5.3,5,1.3,5.0,0.16
plant-milks,Almendra,b,64.0,1.5,0.3,0,0,0,0.5,0.08
plant-milks,Coconut Milk,e,623.0,14.8,13.8,2.7,1.6,0.5,1.3,0.05
plant-milks,Lait de coco fluide,e,715.0,18.0,16,1,0.5,,1.2,0.06
plant-milks,Boisson Noisette,d,286.0,4.5,0.4,5.5,4,1.1,1.0,0.05
plant-milks,Almond No Sugars,b,63.6,1.32,0.2,0.2,0,0.12,0.6,0.13
plant-milks,"Alpro Mandeldrink Weiß Ungesüßt, Ungeröstet 1 LT",b,56.0,1.1,0.1,0,0,0.2,0.5,0.14
plant-milks,Organic & unsweetened Almond,b,121.0,2.5,0.2,0.5,0,0.5,1.0,0.1
plant-milks,Whole Oat Drink,d,248.0,2.8,0.3,7,3.4,0.8,1.1,0.1
plant-milks,Natural Coconut Cream,c,147.0,4.0,4,0,0,0,0.0,0.0
plant-milks,Oat unsweetened,c,163.0,1.1,0.2,6.6,3.1,0.5,0.3,0.11
plant-milks,Épeautre noisette bjorg,e,318.0,3.0,0.3,11,5.4,0.5,1.0,0.09
plant-milks,Oat Milk,c,230.0,3.0,0.3,5.7,2,0.8,0.7,0.12
plant-milks,Lait de coco,e,720.0,17.0,14,1,0.6,1,1.8,0.04
plant-milks,"Alpro Sojadrink, Ungesüßt fresh",b,138.0,1.8,0.3,0,0,0.6,3.3,0.09
plant-milks,Oat Barista Blend,c,229.0,2.9,0.2,5.8,2.8,0.8,0.8,0.12
plant-milks,Unsweetened UHT Soya Drink,b,130.0,1.92,0.32,0.16,0,0,3.4,0.083
plant-milks,Coconut Milk,e,456.0,11.0,9.7,2.2,1.3,0,0.5,0.05
plant-milks,Organic Soya Unsweetened U.H.T.,b,132.0,1.9,0.3,0,0,0.6,3.3,0.03
plant-milks,Oat M*lk,c,102.0,1.05,0.1,4.75,2.25,,0.1,0.05
plant-milks,soya Vanille,c,240.0,1.8,0.3,6.7,6.7,0.5,3.0,0.14
plant-milks,Soya Wholebean Unsweetened Drink U.H.T.,b,138.0,1.8,0.3,0,,0.6,3.3,0.09
plant-milks,Nordic Oat Drink,c,197.0,1.5,0.1,7.1,3,1,0.7,0.0975
plant-milks,Oatly Semi Oat Drink imp,c,201.0,1.5,0.2,7,3.4,0.8,1.1,0.1
plant-milks,Bebida avena Calcio,d,219.0,2.5,2,6.8,3.6,0.56,0.5,0.115
plant-milks,RUDE Almond Organic Drink imp,d,234.0,1.5,0.3,10,4.7,0.5,0.5,0.08
plant-milks,Coconut Milk,e,632.0,15.0,13,3.2,1.9,0,0.9,0.1
plant-milks,Bebida de Soja,b,147.0,1.9,0.3,0.8,0.7,0.7,3.4,0.16
plant-milks,No Sugars Oat Drink,c,184.0,1.5,0.2,6.3,0,0.7,1.0,0.1175
plant-milks,Oat barista edition unsweetened,d,243.0,2.3,0.2,8.4,3.6,0.4,0.8,0.00025
plant-milks,Coconut Milk,e,816.0,19.4,16,3.2,2.3,1.2,1.3,0.0875
plant-milks,Oat Milk,c,206.0,1.52,0.2,7.2,4.6,0.8,1.32,0.1
plant-milks,Avoine sans sucre,b,121.0,0.9,0.2,4.5,0.5,,0.6,0.09
plant-milks,Bio napitak od zobi,c,154.0,1.2,0.1,5.6,4.4,,0.4,0.1
plant-milks,Avoine,c,182.0,1.2,0.2,7.2,5,0.8,0.5,0.08
plant-milks,Coconut And Rice Milk,b,80.4,0.92,0.92,2.8,1.92,0,0.0,0.118
plant-milks,Amande chocolat,e,247.0,1.9,0.4,9.2,7.2,0.7,0.8,0.0775
plant-milks,"Boisson au soja, sucré",b,167.0,1.7,0.2,3.1,2.5,,3.0,0.4
plant-milks,Barista Oat milk - Vemondo,d,218.0,2.8,0.32,5.72,2.2,0.16,0.72,0.25
plant-milks,Coconut-flavored plant-based yoghurt,b,230.0,2.9,1.1,2.4,2.3,0.9,3.9,0.24
plant-milks,Bio Organic Almond Drink,c,96.0,1.2,0.1,2.4,2.3,,0.5,0.0975
plant-milks,Boisson au soja,b,133.0,1.7,0.2,1,0.4,0.2,3.0,0.08
plant-milks,Soya Drink Unsweetened,b,117.0,1.3,0.2,0.7,0.3,0.5,3.0,0.125
plant-milks,Coco sans sucres,b,75.0,1.4,1.3,0.8,0.5,,0.6,0.11
plant-milks,Lait Amande calcium,b,106.0,1.7,0.2,1.7,0.5,0.5,0.7,0.1
plant-milks,coconut milk,e,594.0,15.0,12,1.6,1.6,,1.0,0.06
plant-milks,High Protein Soja Drink,b,239.0,2.8,0.5,2.5,2.5,0.9,5.0,0.1
plant-milks,Mandel Vanille Geschmack,c,126.0,1.1,0.1,3.8,3.8,1.3,0.4,0.14
plant-milks,BjORG AMANDE VANILLE,c,155.0,1.4,0.2,5.4,3.7,0,0.5,0.0975
plant-milks,Crema di cocco,e,1039.0,25.0,24,4.5,3,0.5,2.7,0.04
plant-milks,Bebida de Avena,c,198.0,0.7,0.1,8.2,4.8,0.7,1.6,0.03
plant-milks,Boisson au soja nature bio,b,154.0,1.8,0.4,1.1,0.7,0.7,3.7,0.01
plant-milks,Bebida de Almendras Enriquecida con Calcio y Vitaminas,c,151.0,2.0,0.5,3.7,3.5,0.5,0.7,0.08
plant-milks,"Kokosnussdrink mit Soja, Barista",c,139.0,1.4,0.7,3.3,3.3,0.2,1.5,0.1
plant-milks,Bebida de soja,b,129.0,1.7,0.3,0.6,0.6,0.4,3.1,0.1
plant-milks,Gluten Free Barista Oat Drink,c,192.0,0.9,0.3,9.1,2.6,,0.3,0.1
plant-milks,Soya Drink Original,b,176.0,1.9,0.3,2.7,2.5,0.6,3.3,0.1
plant-milks,Everyday Essentials Soya Unsweetened,b,139.0,1.72,0.32,1.2,0.6,0.52,3.0,0.00019
plant-milks,Amande Sans sucres,b,106.0,1.7,0.2,1.7,0.5,0.5,0.7,0.1
plant-milks,unsweetened Almond milk,b,67.0,1.5,0.1,0,,0.2,0.5,0.15
plant-milks,Organic Coconut Milk,e,745.0,18.0,17,2.4,1.8,0,2.0,0.04
plant-milks,Boisson avoine,c,173.0,1.2,0.2,7.2,5,0.8,0.5,0.0975
plant-milks,Vainilla,b,134.0,1.5,0.2,1.4,0,0.5,3.0,0.17
teas,Green Tea,c,200.0,0.5,0.5,0.5,0.2,0.2,0.5,0.1
teas,PET 1.2L MAYTEA MENTHE,c,59.0,0.0,0,3.3,3.3,0,0.0,0.03
teas,Apple & Raisin Oat Bar,e,1784.0,17.4,9.5,59.3,29,4.9,5.6,0.29
teas,Thé,e,84.0,8.0,6,11,5,,15.0,8.0
teas,The vert de chine,b,4.0,0.0,0,0.2,0,,0.1,0.0
teas,Peach ice tea,c,56.4,0.0,0,3.12,3,,0.0,0.032
teas,Al ambar thé vert en grains,b,0.0,0.0,0,0,0,0,0.0,0.0
teas,Thé vert glacé saveur citron vert & menthe,d,79.0,0.0,0,4.4,4.4,0,0.0,0.05
teas,Thé vert menthe intense menthe verte & menthe poivrée,b,17.0,0.0,0,0,0,0,0.0,0.0
teas,Thé vert,b,4.0,0.0,0,0.2,0,0,0.1,0.0
teas,Infusion à froid Detox cranberry framboise hibiscus,b,17.0,0.5,0.1,0.5,0.5,,0.5,0.01
teas,Thé vert,b,17.0,0.0,0,0,0,,0.0,0.0
teas,Thé vert glacé,d,42.0,0.0,0,2.3,2.2,,0.0,0.03
teas,Organic kombucha,b,7.0,0.5,0.1,1.6,0,0.5,0.5,0.0
teas,Touche de Thé noir,c,59.0,0.5,0,3.3,3.2,0,0.5,0.5
teas,Chakour Tea,b,0.0,0.0,0,0,0,,0.0,0.0
teas,Yorkshire Tea 80 Tea Bags,b,4.0,0.0,0,0,0,0,0.0,0.0
teas,fuze tea,d,79.0,0.0,0,4.4,4.3,,0.0,0.03
teas,Lipton Thé 5 Fruits Rouges 20 Sachets,b,17.0,0.0,0,0.5,0.5,0,0.5,0.0
teas,Twinning Thé Vert Menthe,b,17.0,0.0,0,0,0,,0.0,0.0
teas,Lipton citron Ice Tea,d,79.0,0.5,0.1,4.6,4.5,,0.45,0.0
teas,Thé noir glacé saveur framboise menthe,c,7.0,0.0,0,0.2,0.2,,0.0,0.6
teas,Lipton Saveurs du Soir Infusion Grand Sud Menthe et Réglisse 20 Sachets Pyramid®,b,17.0,0.0,0,0.5,0.5,,0.5,0.0
teas,Apple & Elderflower Organic Kombucha,c,67.0,0.3,0.1,2.5,2.5,,0.9,0.0975
teas,Tea Peach Hibiscus,d,81.0,0.0,0,4.5,4.5,0,0.0,0.02
teas,Thé vert saveur citron 25 sachets de 2 g,b,4.0,0.0,0,0.3,0,0,0.15,0.0
teas,Lemon & Ginger tea,b,10.0,0.0,0,0,0,0,0.0,0.0
teas,Thé vert en filaments,b,4.0,0.0,0,0.2,0,,0.1,0.0
teas,Pure Peppermint,b,8.0,0.0,0,0,0,,0.0,0.0
teas,Nestea limón,e,200.0,0.0,,4.5,4.5,0,0.0,0.031
teas,Thé vert de Chine LAHCEN KANTAOUI,b,4.0,0.0,0,0.2,0,,0.1,0.0
teas,Organic Detox Tea Bags,b,0.0,0.0,0,0,0,0,0.0,0.0
teas,Ice Tea Melocotón,c,9.0,0.0,0,0.5,0,0,0.0,0.01
teas,Ice Tea Limón,c,1.8,0.0,0,0.1,0,0,0.0,0.002
teas,Tea bags,b,4.0,0.0,0,0.2,0,,0.1,0.0
teas,Superblends Glow Tea Bags,b,4.0,0.0,0,0.5,0.5,,0.0,0.0
teas,PET 1.2L MAYTEA CITRON,c,84.0,0.0,0,4.6,4.5,,0.0,0.03
teas,Té verde,b,4.0,0.0,0,0.2,0,,0.1,0.0
teas,Thé citron vert et menthe,d,79.0,0.0,0,4.4,4.4,,0.0,0.05
teas,Thè alla Pesca,e,103.0,0.0,0,5.8,5.72,0,0.0,0.0
teas,Marrakech tea,c,56.0,0.0,0,3.3,3.3,0,0.0,0.0
teas,Infuse à froid - menthe + citron vert,b,17.0,0.0,0,0,0.2,0,0.1,0.0
teas,PET 50CL POMEGRANATE ARIZONA,d,88.0,0.0,0,5,4.9,0,0.0,0.0
teas,Thé peche abricot,b,0.0,0.0,0,0,0,0,0.0,0.0
teas,fuzetea zitrone zitronengras,d,79.0,0.0,0,4.4,4.4,,0.0,0.03
teas,Hibiscus + pomegranate cold infuse,b,17.0,0.5,0.1,0.5,0.5,,0.5,0.01
teas,pure green tea,b,4.0,0.0,0,0.3,0,,0.0,0.0
teas,Lipton Thé Noir Bio Russian Earl Grey 150g,b,17.0,0.0,0,0.5,0.5,,0.5,0.0
teas,Kombucha Gingembre,c,45.0,0.0,0,2.5,2.5,,0.0,0.0
teas,Healthy Energy Apple Raspberry,c,50.0,0.0,,2.7,2.5,,0.1,2.5e-05
teas,"Lipton Liptonic l'original pétillant 1,5 L",d,140.0,0.0,0,8,7.9,,0.0,0.06
teas,English breakfast,b,4.0,0.1,0,0.1,0.1,0,0.2,0.01
coffees,ricore,b,577.0,0.5,0.1,9.1,9.1,45.3,2.7,0.23
coffees,RICORÉ® aux céréales et à la chicorée solubles Boîte 250g,b,1573.0,0.3,0.2,83,3.2,8,5.1,0.23
coffees,Café moulu pur arabica des petits producteurs,b,0.0,0.02,0,0,0,0,0.12,0.0
coffees,,c,226.0,1.0,0.9,9.4,7.1,0.7,1.2,0.12
coffees,"Illy Classico 100% Arabica, 250g",b,0.0,0.0,0,0,0,0,0.0,0.0
coffees,cafe de cereales,b,1522.0,0.0,0,80.9,5.2,7.7,5.0,0.18
coffees,PUR ARABICA DES PETITS PRODUCTEURS l'original,b,0.0,0.0,0,0,0,0,0.0,0.0
coffees,"Nescafé, Gold cappuccino, Cappuccino",c,226.0,1.0,0.9,9.4,7.1,0.7,1.2,0.12
coffees,"NESCAFÉ Cappuccino Noisette, Café soluble, Boîte de 270g",c,142.0,0.8,0.7,5.9,4.5,0.2,0.7,0.08
coffees,"RICORE Noir Intense, Café & Chicorée, Boîte 240g",c,575.0,0.5,0.1,7.7,7.7,48.7,3.0,0.15
coffees,"NESCAFÉ NES, Café Soluble,",b,484.0,0.2,0.1,3.1,3.1,34.1,7.8,0.3
coffees,"NESCAFÉ Café Viennois, Café soluble,",d,172.0,1.0,0.9,6.9,5.2,0.2,0.8,0.14
coffees,Cappuccino goût chocolat,c,1680.0,7.2,6.4,76,72,4,6.4,1.52
coffees,NESCAFÉ 3in1 ORIGINAL,e,1800.0,13.3,12.1,75.2,57.6,2.42,1.21,1.02
coffees,Capsules NESCAFE Dolce Gusto Cappuccino Extra Crema 16 Capsules,e,1765.0,20.4,10.3,35.9,23.9,12.9,17.4,0.45
coffees,Qualita Oro,b,0.0,0.0,0,0,0,0,0.1,0.0
coffees,LAVAZZA CREMA E GUSTO,b,4.0,0.0,0,0.3,0,,0.2,0.0
coffees,Cappuccino saveur Viennois,e,218.0,1.6667,1.5333,8,6.6667,0,1.0667,0.86666675
coffees,"Café moulu pur arabica, intense",b,4.0,0.0,0,0.3,0,,0.2,0.0
coffees,"NESCAFÉ Cappuccino Vanille, Café soluble, Boîte de 310g",c,146.0,0.8,0.7,6.1,4.6,0.2,0.7,0.1
coffees,Cappucino,c,247.0,1.3,0.8,8.6,8.5,,3.0,0.18
coffees,Coffee Mate,c,157.0,2.2,1.7,1.9,0.7,0.3,0.1,0.06
coffees,Samar Classic,b,4.0,0.0,0,0.3,0,,0.2,0.0
coffees,Dolce Gusto Nesquik,e,1833.0,15.8,10.2,56.1,54.2,3.3,15.8,0.7
coffees,Espresso,b,4.0,0.0,0,0.3,0,0,0.2,0.0
iced-teas,PET 1.25L FUZE TEA PECHE,d,80.0,0.0,0,4.3,4.3,,0.0,0.025
iced-teas,Ice tea,d,56.0,0.0,0,3.1,3,,0.0,0.03
iced-teas,Ice Tea Pêche,d,56.0,0.0,0,3.1,3,0,0.0,0.03
iced-teas,FuzeTea Thé glacé pêche intense,d,79.0,0.0,0,4.4,4.3,,0.0,0.03
iced-teas,Ice tea,d,56.0,0.0,0,3.1,3,,0.0,0.03
iced-teas,PET 1.25L FUZETEA PECHE HIB,d,79.0,0.0,0,4.3,4.3,0,0.0,0.03
iced-teas,PET 1.2L MAYTEA PECHE,c,85.0,0.0,0,4.8,4.7,0,0.0,0.03
iced-teas,PET 1.2L MAYTEA MENTHE,c,59.0,0.0,0,3.3,3.3,0,0.0,0.03
iced-teas,Ice tea,c,6.0,0.0,0,0,0,,0.0,0.01
iced-teas,Club-Mate Original,c,84.0,0.0,0,5,5,0,0.0,0.0
iced-teas,Lipton Peche ice tea,e,105.0,0.0,0,6,6,,0.0,0.07
iced-teas,Thé glacé pêche intense,c,80.0,0.0,0,4.3,4.3,,0.0,0.03
iced-teas,saveur pêche ici tea,d,56.0,0.0,0,3.1,3,,0.0,0.03
iced-teas,saveur fruit rouge ice tea,e,105.0,0.0,0,,6,,0.0,0.0675
iced-teas,Thé noir glacé saveur pêche intense,c,80.0,0.0,0,4.3,4.3,0,0.0,0.03
iced-teas,Ice tea saveur pêche,d,56.0,0.0,0,3.1,3,,0.0,0.03
iced-teas,Peach ice tea,c,56.4,0.0,0,3.12,3,,0.0,0.032
iced-teas,"PET 1,5L OASIS ICE YEA PECHE",c,79.0,0.0,0,4.5,4.4,,0.0,0.03
iced-teas,Thé vert glacé saveur citron vert & menthe,d,79.0,0.0,0,4.4,4.4,0,0.0,0.05
iced-teas,Thé vert glacé,d,42.0,0.0,0,2.3,2.2,,0.0,0.03
iced-teas,Iced tea saveur pêche,d,130.0,0.0,0,7.5,7.5,,0.0,0.0
iced-teas,fuze tea,d,79.0,0.0,0,4.4,4.3,,0.0,0.03
iced-teas,PET 1.2L MAYTEA FRAMBOISE,c,84.0,0.0,0,4.7,4.7,0,0.0,0.03
iced-teas,Oasis ice tea saveur pêche,e,79.0,0.0,0,4.5,4.4,,0.0,2.0
iced-teas,Lipton Ice Tea saveur pêche,d,56.0,0.0,0,3.1,3,,0.0,0.03
iced-teas,Lipton citron Ice Tea,d,79.0,0.5,0.1,4.6,4.5,,0.45,0.0
iced-teas,Nestea Limón,d,80.0,0.0,0,4.5,4.5,,0.0,0.3
iced-teas,Thé noir glacé saveur framboise menthe,c,7.0,0.0,0,0.2,0.2,,0.0,0.6
iced-teas,Ice tea zero,c,7.6,0.0,0,0.1,0,,0.0,0.03
iced-teas,Tea Peach Hibiscus,d,81.0,0.0,0,4.5,4.5,0,0.0,0.02
iced-teas,Broskev a ibišek,c,79.0,0.0,0,4.4,4.4,0,0.0,0.02
iced-teas,Nestea limón,e,200.0,0.0,,4.5,4.5,0,0.0,0.031
iced-teas,Fuze tea lime mint,c,79.0,0.0,0,4.5,4.5,0,0.0,0.05
iced-teas,Lipton sans sucre,c,6.0,0.0,0,0,0,,0.0,0.01
iced-teas,Ice Tea - Pfirsich,d,108.0,0.5,0.1,6.2,6.2,,0.5,0.01
iced-teas,Lipton Ice Tea,d,80.0,0.5,0.1,4.7,4.5,,0.5,0.05
iced-teas,"Lipton Ice Tea saveur framboise 1,25 L",d,82.0,0.0,0,4.6,4.5,0,0.0,0.03
iced-teas,Ice Tea Melocotón,c,9.0,0.0,0,0.5,0,0,0.0,0.01
iced-teas,Ice Tea Limón,c,1.8,0.0,0,0.1,0,0,0.0,0.002
iced-teas,PET 1.2L MAYTEA CITRON,c,84.0,0.0,0,4.6,4.5,,0.0,0.03
iced-teas,Thé glacé saveur pêche,c,4.0,0.0,0,0,0,,0.0,0.03
iced-teas,"Lipton Ice Tea saveur citron citron vert 1,25 L",d,55.0,0.0,0,3.1,3,0,0.0,0.02
iced-teas,Thé citron vert et menthe,d,79.0,0.0,0,4.4,4.4,,0.0,0.05
iced-teas,Thè alla Pesca,e,103.0,0.0,0,5.8,5.72,0,0.0,0.0
iced-teas,Ice Tea Lemon,e,103.0,0.0,0,5.8,5.7,0,0.0,0.0
iced-teas,Fuzetea Black Tea Peach Hibiscus,e,316.0,0.0,0,17,17,0,0.0,0.12
iced-teas,Originale tè verde con miele,c,78.0,0.0,0,5,4.7,,0.0,0.0
iced-teas,Black ice tea - Forest Fruit,c,84.0,0.0,0,4.5,4.5,,0.0,0.05
iced-teas,fuzetea zitrone zitronengras,d,79.0,0.0,0,4.4,4.4,,0.0,0.03
iced-teas,Estathé Pesca,d,134.0,0.0,0,7.8,7.8,,0.0,0.0
iced-teas,Lipton saveur pêche pétillant,d,84.0,0.0,0,4.6,4.5,,0.0,0.04
iced-teas,"Lipton Liptonic l'original pétillant 1,5 L",d,140.0,0.0,0,8,7.9,,0.0,0.06
iced-teas,"Volvic Tee Pfirsich 1,5 L EW",c,64.0,0.0,0,3.8,3.8,,0.0,0.01
iced-teas,Thé vert infusé glacé parfum jasmin,c,75.0,0.0,0,4.3,4.2,,0.0,0.03
iced-teas,Lipton Thé vert glacé saveur citron vert menthe,d,42.0,0.0,0,2.3,2.2,,0.0,0.03
iced-teas,Tea Verde,c,87.0,0.0,0,4.9,0,0,0.0,0.3
iced-teas,"Lipton Thé vert glacé saveur pêche blanche 1,25 L",d,43.0,0.0,0,2.4,2.2,,0.0,0.03
iced-teas,Lipton Ice Tea saveur pêche 25 cl,d,82.0,0.0,0,4.6,4.5,,0.0,0.01
iced-teas,Lemon Ice Tea,c,54.0,0.0,0,3.1,3,,0.0,0.075
iced-teas,Nestea sin azúcar,c,4.0,0.0,0,0,0,,0.0,0.05
iced-teas,Thé noir infusé glacé pêche de vigne,c,79.0,0.0,0,4.4,4.4,,0.1,0.05
iced-teas,Thé noir glacé framboise menthe,c,7.0,0.0,0,0.2,0.2,0,0.0,0.06
iced-teas,Refresco de té negro con limón sin azúcar sin calorías,c,4.0,0.0,0,0,0,0,0.0,0.0515
iced-teas,Thé noir infusé glacé saveur pêche,c,77.0,0.0,0,4.5,4.5,,0.0,0.01
iced-teas,PET 1.5L OAS THE FRBCAS,d,75.0,0.0,0,4.4,4.3,0,0.0,0.03
iced-teas,Nestea de piersici,c,79.0,0.5,0,4.5,4.5,0,0.5,0.02
